class_id,class_name,Sup 100%,MAE+LP 100%,Sup 20%,MAE+LP 20%,Sup 10%,MAE+LP 10%
n01440764,tench,96.0,92.0,32.0,90.0,0.0,86.0
n01443537,goldfish,94.0,86.0,62.0,82.0,54.0,80.0
n01484850,great white shark,78.0,76.0,16.0,74.0,6.0,50.0
n01491361,tiger shark,64.0,60.0,40.0,54.0,0.0,66.0
n01494475,hammerhead,76.0,80.0,40.0,64.0,62.0,64.0
n01496331,electric ray,62.0,78.0,2.0,66.0,4.0,66.0
n01498041,stingray,60.0,66.0,0.0,68.0,2.0,56.0
n01514668,cock,72.0,68.0,0.0,62.0,0.0,66.0
n01514859,hen,74.0,74.0,0.0,66.0,0.0,64.0
n01531178,goldfinch,96.0,74.0,30.0,74.0,4.0,68.0
n01537544,indigo bunting,92.0,94.0,66.0,84.0,70.0,78.0
n01560419,bulbul,84.0,72.0,0.0,68.0,6.0,62.0
n01582220,magpie,76.0,72.0,20.0,70.0,2.0,68.0
n01592084,chickadee,84.0,84.0,0.0,80.0,0.0,78.0
n01601694,water ouzel,66.0,82.0,16.0,72.0,0.0,76.0
n01608432,kite,68.0,70.0,34.0,56.0,18.0,62.0
n01614925,bald eagle,94.0,80.0,0.0,72.0,0.0,62.0
n01622779,great grey owl,92.0,96.0,16.0,92.0,16.0,92.0
n01630670,common newt,60.0,74.0,0.0,58.0,0.0,56.0
n01632458,spotted salamander,90.0,90.0,4.0,90.0,2.0,86.0
n01632777,axolotl,84.0,72.0,14.0,70.0,0.0,68.0
n01644900,tailed frog,36.0,32.0,2.0,28.0,0.0,28.0
n01664065,loggerhead,72.0,62.0,0.0,60.0,2.0,46.0
n01665541,leatherback turtle,48.0,46.0,10.0,44.0,10.0,48.0
n01667114,mud turtle,62.0,62.0,4.0,58.0,0.0,48.0
n01667778,terrapin,44.0,50.0,2.0,46.0,0.0,40.0
n01675722,banded gecko,60.0,62.0,0.0,54.0,0.0,52.0
n01677366,common iguana,68.0,64.0,0.0,56.0,2.0,60.0
n01685808,whiptail,74.0,70.0,56.0,78.0,22.0,70.0
n01687978,agama,58.0,64.0,20.0,60.0,12.0,62.0
n01693334,green lizard,48.0,58.0,26.0,58.0,44.0,50.0
n01695060,Komodo dragon,82.0,82.0,0.0,72.0,0.0,64.0
n01698640,American alligator,76.0,58.0,0.0,66.0,0.0,52.0
n01728572,thunder snake,62.0,60.0,0.0,54.0,2.0,52.0
n01729322,hognose snake,54.0,48.0,0.0,36.0,52.0,32.0
n01729977,green snake,48.0,52.0,30.0,46.0,2.0,44.0
n01734418,king snake,80.0,74.0,2.0,74.0,0.0,74.0
n01735189,garter snake,80.0,80.0,26.0,78.0,0.0,70.0
n01739381,vine snake,56.0,54.0,0.0,56.0,6.0,56.0
n01740131,night snake,24.0,26.0,0.0,12.0,4.0,16.0
n01742172,boa constrictor,74.0,70.0,2.0,70.0,0.0,66.0
n01749939,green mamba,66.0,50.0,0.0,36.0,0.0,42.0
n01751748,sea snake,60.0,58.0,2.0,58.0,0.0,50.0
n01753488,horned viper,38.0,46.0,14.0,48.0,0.0,32.0
n01755581,diamondback,58.0,62.0,0.0,72.0,0.0,54.0
n01756291,sidewinder,24.0,20.0,2.0,18.0,0.0,26.0
n01770081,harvestman,82.0,78.0,0.0,78.0,14.0,78.0
n01770393,scorpion,72.0,72.0,0.0,68.0,0.0,60.0
n01773157,black and gold garden spider,66.0,86.0,4.0,84.0,0.0,72.0
n01773549,barn spider,36.0,46.0,2.0,42.0,0.0,50.0
n01773797,garden spider,56.0,54.0,0.0,48.0,0.0,54.0
n01774384,black widow,86.0,80.0,20.0,76.0,4.0,74.0
n01774750,tarantula,76.0,86.0,0.0,80.0,0.0,78.0
n01775062,wolf spider,64.0,68.0,0.0,56.0,0.0,62.0
n01776313,tick,64.0,66.0,14.0,60.0,0.0,62.0
n01795545,black grouse,88.0,74.0,32.0,72.0,0.0,64.0
n01796340,ptarmigan,72.0,74.0,0.0,78.0,0.0,66.0
n01798484,prairie chicken,94.0,90.0,8.0,92.0,16.0,84.0
n01806143,peacock,90.0,84.0,24.0,82.0,22.0,76.0
n01818515,macaw,94.0,88.0,24.0,80.0,30.0,72.0
n01819313,sulphur-crested cockatoo,80.0,82.0,12.0,78.0,68.0,80.0
n01820546,lorikeet,94.0,92.0,80.0,90.0,60.0,92.0
n01824575,coucal,80.0,76.0,12.0,68.0,2.0,58.0
n01828970,bee eater,96.0,92.0,16.0,86.0,6.0,86.0
n01829413,hornbill,78.0,56.0,10.0,50.0,0.0,54.0
n01833805,hummingbird,94.0,74.0,2.0,62.0,0.0,58.0
n01843383,toucan,82.0,78.0,32.0,78.0,4.0,72.0
n01847000,drake,80.0,74.0,16.0,72.0,0.0,70.0
n01855672,goose,66.0,54.0,0.0,52.0,0.0,48.0
n01860187,black swan,94.0,90.0,2.0,90.0,2.0,90.0
n01877812,wallaby,78.0,80.0,0.0,74.0,0.0,64.0
n01883070,wombat,70.0,76.0,0.0,70.0,0.0,72.0
n01910747,jellyfish,80.0,84.0,30.0,82.0,38.0,76.0
n01914609,sea anemone,76.0,78.0,18.0,78.0,0.0,74.0
n01924916,flatworm,74.0,60.0,4.0,52.0,0.0,50.0
n01930112,nematode,82.0,88.0,20.0,78.0,30.0,74.0
n01943899,conch,58.0,62.0,0.0,60.0,0.0,42.0
n01944390,snail,62.0,70.0,0.0,74.0,2.0,62.0
n01950731,sea slug,80.0,78.0,2.0,76.0,4.0,68.0
n01955084,chiton,62.0,86.0,0.0,68.0,0.0,64.0
n01968897,chambered nautilus,74.0,74.0,4.0,74.0,0.0,72.0
n01978287,Dungeness crab,76.0,74.0,0.0,68.0,0.0,68.0
n01978455,rock crab,50.0,54.0,10.0,60.0,0.0,50.0
n01984695,spiny lobster,64.0,70.0,28.0,70.0,0.0,70.0
n01985128,crayfish,50.0,34.0,2.0,26.0,12.0,16.0
n01986214,hermit crab,72.0,70.0,0.0,54.0,0.0,50.0
n02002556,white stork,86.0,80.0,0.0,74.0,0.0,74.0
n02006656,spoonbill,98.0,90.0,10.0,78.0,0.0,80.0
n02007558,flamingo,94.0,88.0,40.0,82.0,52.0,80.0
n02011460,bittern,76.0,74.0,22.0,60.0,0.0,66.0
n02012849,crane,74.0,52.0,0.0,50.0,0.0,42.0
n02013706,limpkin,92.0,86.0,0.0,82.0,2.0,78.0
n02018207,American coot,84.0,80.0,0.0,76.0,36.0,74.0
n02018795,bustard,88.0,78.0,14.0,74.0,0.0,74.0
n02027492,red-backed sandpiper,80.0,80.0,28.0,72.0,0.0,70.0
n02028035,redshank,86.0,82.0,16.0,78.0,0.0,70.0
n02037110,oystercatcher,86.0,80.0,12.0,80.0,12.0,72.0
n02051845,pelican,80.0,76.0,0.0,66.0,0.0,60.0
n02058221,albatross,86.0,76.0,6.0,80.0,2.0,80.0
n02077923,sea lion,78.0,78.0,0.0,74.0,8.0,72.0
